N=1000,modify=hide,graph=email,dj=0.1,method=gmla,r=0.1,beta=0.95
rank,precision,dist
1113,0.0,2
7,0.0,1
5,0.0,2
1,1.0,0
1121,0.0,4
3,0.3333333333333333,2
2,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
5,0.0,1
1,1.0,0
1,1.0,0
1,0.5,0
1,1.0,0
1107,0.0,3
1,1.0,0
1,1.0,0
2,0.5,1
3,0.0,2
1116,0.0,2
1,1.0,0
2,0.3333333333333333,1
1,1.0,0
1,1.0,0
1,1.0,0
2,0.0,1
1,1.0,0
1112,0.0,3
1116,0.0,3
1,1.0,0
1,1.0,0
1,0.5,0
1,1.0,0
2,0.3333333333333333,1
2,0.5,1
1,1.0,0
2,0.0,2
1115,0.0,2
3,0.25,1
7,0.0,2
1116,0.0,3
1,1.0,0
1,1.0,0
1,0.5,0
1,1.0,0
1,1.0,0
2,0.0,1
1116,0.0,3
1110,0.0,2
1,1.0,0
1,1.0,0
1121,0.0,3
1,1.0,0
1,0.5,0
1116,0.0,4
1,1.0,0
1,0.3333333333333333,0
2,0.5,1
4,0.0,2
1115,0.0,2
2,0.5,1
13,0.0,4
2,0.0,1
1110,0.0,3
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.3333333333333333,2
4,0.0,2
1112,0.0,3
1,1.0,0
1121,0.0,4
1116,0.0,3
1111,0.0,4
1,1.0,0
1109,0.0,4
1,1.0,0
1116,0.0,2
2,0.5,1
1,1.0,0
1118,0.0,5
1,1.0,0
1116,0.0,5
1,1.0,0
1109,0.0,3
1,1.0,0
1115,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
2,0.0,1
1,1.0,0
1,1.0,0
3,0.25,1
1,1.0,0
1115,0.0,3
1,1.0,0
1122,0.0,4
2,0.5,1
1,1.0,0
2,0.5,2
1,1.0,0
1,1.0,0
1,1.0,0
1118,0.0,3
2,0.0,2
1,1.0,0
2,0.0,1
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.0,1
4,0.0,2
1,1.0,0
3,0.0,2
1117,0.0,3
1,1.0,0
1113,0.0,3
1123,0.0,3
1117,0.0,4
1,1.0,0
2,0.5,1
1114,0.0,2
1,1.0,0
1116,0.0,-1
1117,0.0,3
1124,0.0,3
1,1.0,0
1118,0.0,2
1,1.0,0
2,0.0,2
1,1.0,0
4,0.0,1
4,0.0,2
1114,0.0,3
2,0.0,2
1,1.0,0
1115,0.0,2
1115,0.0,4
1117,0.0,2
1,1.0,0
1122,0.0,3
1,1.0,0
1,1.0,0
7,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1119,0.0,2
1,1.0,0
2,0.0,1
1,0.3333333333333333,0
1114,0.0,3
1110,0.0,4
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,0.3333333333333333,0
2,0.0,2
1,0.5,0
1119,0.0,2
1,0.5,0
1,1.0,0
4,0.0,1
1,1.0,0
1,1.0,0
1,1.0,0
4,0.25,1
1,0.5,0
7,0.0,2
3,0.3333333333333333,1
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.0,2
1114,0.0,4
2,0.0,1
2,0.0,2
1,1.0,0
1121,0.0,5
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1124,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
1117,0.0,3
1119,0.0,3
3,0.3333333333333333,1
1,1.0,0
1113,0.0,3
1,1.0,0
1119,0.0,2
1112,0.0,2
2,0.0,1
3,0.3333333333333333,2
1,1.0,0
1114,0.0,-1
1,0.5,0
1,1.0,0
1,0.5,0
1,1.0,0
5,0.0,2
2,0.5,1
1121,0.0,4
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.3333333333333333,2
1,1.0,0
1111,0.0,5
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,1
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,1
1,1.0,0
1,1.0,0
1118,0.0,4
1,1.0,0
1111,0.0,2
1114,0.0,5
1115,0.0,2
1,1.0,0
3,0.0,2
1115,0.0,5
1,0.5,0
1120,0.0,3
5,0.0,2
1114,0.0,4
1,1.0,0
1,1.0,0
1,1.0,0
3,0.0,1
1118,0.0,2
1,1.0,0
3,0.0,1
1,1.0,0
1,0.5,0
1,1.0,0
1,1.0,0
1,0.5,0
2,0.5,1
1,1.0,0
1118,0.0,3
1,1.0,0
2,0.5,1
1,1.0,0
2,0.0,1
1,0.5,0
1,1.0,0
1,1.0,0
7,0.0,2
1,1.0,0
8,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.5,1
3,0.3333333333333333,2
1,1.0,0
1,1.0,0
1,1.0,0
1115,0.0,2
1,0.5,0
1114,0.0,3
1116,0.0,3
1114,0.0,2
2,0.0,1
1107,0.0,2
1,1.0,0
1118,0.0,3
6,0.0,2
3,0.0,2
1,1.0,0
4,0.0,1
1,1.0,0
1,1.0,0
1120,0.0,5
2,0.0,1
1115,0.0,3
1113,0.0,4
1,1.0,0
1,1.0,0
6,0.0,1
1,1.0,0
1,1.0,0
2,0.0,1
1,1.0,0
1112,0.0,2
1114,0.0,2
1,0.5,0
1,1.0,0
1,0.5,0
1111,0.0,3
1119,0.0,2
1108,0.0,4
1122,0.0,5
2,0.5,1
5,0.0,3
1121,0.0,2
3,0.3333333333333333,1
1,1.0,0
1,1.0,0
1,0.5,0
1120,0.0,4
1,1.0,0
1114,0.0,5
3,0.0,2
4,0.0,1
1,1.0,0
1,1.0,0
3,0.0,1
1,1.0,0
1130,0.0,3
1114,0.0,3
1,1.0,0
2,0.0,2
1119,0.0,2
3,0.25,1
1,1.0,0
1,1.0,0
2,0.5,1
1117,0.0,2
1,1.0,0
1,1.0,0
1108,0.0,2
1113,0.0,2
2,0.0,2
1,1.0,0
1112,0.0,2
1120,0.0,4
1,1.0,0
1,1.0,0
1,1.0,0
1116,0.0,3
1,1.0,0
1,1.0,0
1,1.0,0
1122,0.0,3
2,0.0,2
1,1.0,0
3,0.0,1
1,1.0,0
1,1.0,0
1112,0.0,4
1,1.0,0
12,0.0,2
1117,0.0,3
1,1.0,0
1118,0.0,3
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.0,1
1118,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.0,2
1,1.0,0
1,1.0,0
1116,0.0,4
1,1.0,0
1118,0.0,2
1,1.0,0
3,0.3333333333333333,1
1,1.0,0
1,1.0,0
3,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
11,0.0,2
2,0.0,1
1119,0.0,2
1120,0.0,2
1110,0.0,3
2,0.0,1
1,1.0,0
1112,0.0,2
1115,0.0,4
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
2,0.3333333333333333,1
1,0.5,0
2,0.5,1
1115,0.0,3
1,1.0,0
1116,0.0,3
1,1.0,0
2,0.5,2
1118,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
6,0.0,2
1,1.0,0
7,0.0,2
1,1.0,0
2,0.5,1
2,0.5,1
1,1.0,0
1116,0.0,5
1,1.0,0
1,1.0,0
1,1.0,0
2,0.0,2
1,1.0,0
1,1.0,0
1,1.0,0
1117,0.0,2
1,1.0,0
2,0.5,1
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1117,0.0,3
3,0.0,2
10,0.0,1
1,1.0,0
1,1.0,0
1122,0.0,4
1120,0.0,3
2,0.0,1
1,1.0,0
1111,0.0,3
1,1.0,0
1,0.25,0
1,1.0,0
1,1.0,0
1119,0.0,3
1113,0.0,2
1113,0.0,4
2,0.5,1
5,0.0,1
1,1.0,0
1,1.0,0
1,0.5,0
1,1.0,0
3,0.0,2
1,1.0,0
1121,0.0,4
1114,0.0,2
2,0.25,2
1114,0.0,2
1,1.0,0
1,0.5,0
2,0.5,1
1,1.0,0
1,0.5,0
1,0.5,0
1,1.0,0
1,1.0,0
2,0.0,1
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1119,0.0,2
2,0.5,1
3,0.0,2
1116,0.0,3
1,1.0,0
1,1.0,0
1,1.0,0
1,1.0,0
1115,0.0,2
1111,0.0,2
1,1.0,0
1,1.0,0
1113,0.0,3
1119,0.0,4
2,0.5,1
1,1.0,0
1,1.0,0
1,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
1118,0.0,3
4,0.0,2
1,1.0,0
1116,0.0,2
1,1.0,0
1,1.0,0
2,0.5,1
2,0.0,1
2,0.3333333333333333,1
1,0.5,0
1,1.0,0
3,0.0,1
1,1.0,0
1115,0.0,2
1,1.0,0
1116,0.0,3
1,1.0,0
1,1.0,0
1113,0.0,2
1,1.0,0
1,0.5,0
1,1.0,0
1110,0.0,3
1,1.0,0
1,1.0,0
1115,0.0,3
1117,0.0,3
1,1.0,0
2,0.0,1
1113,0.0,5
4,0.0,1
