N=200,graph=ba,method=pearson,r=0.2,beta=0.5,graph_args=Dict(:n0 => 4, :k => 4, :V => 1000),modify_type=add,dj=0.2,reconstruct_type=cn,hide_thresh=201,add_thresh=1
rank,precision,dj
1,1.0,0.0
241,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
16,0.0,0.0
56,0.0,0.0
27,0.0,0.0
4,0.0,0.0
11,0.0,0.0
106,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
3,0.0,0.0
2,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
7,0.0,0.0
1,1.0,0.0
1,1.0,0.0
49,0.0,0.0
7,0.0,0.0
13,0.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
7,0.0,0.0
1,1.0,0.0
9,0.0,0.0
1,1.0,0.0
3,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
4,0.0,0.0
1,1.0,0.0
20,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
4,0.0,0.0
2,0.0,0.0
1,1.0,0.0
2,0.0,0.0
2,0.0,0.0
1,1.0,0.0
7,0.0,0.0
8,0.0,0.0
7,0.0,0.0
1,1.0,0.0
9,0.0,0.0
149,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
4,0.0,0.0
1,1.0,0.0
35,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
2,0.0,0.0
5,0.0,0.0
2,0.0,0.0
3,0.0,0.0
1,1.0,0.0
10,0.0,0.0
2,0.0,0.0
2,0.0,0.0
9,0.0,0.0
8,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
34,0.0,0.0
1,1.0,0.0
1,1.0,0.0
15,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
3,0.0,0.0
1,1.0,0.0
1,1.0,0.0
43,0.0,0.0
1,1.0,0.0
74,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
7,0.0,0.0
2,0.0,0.0
1,1.0,0.0
3,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
159,0.0,0.0
2,0.0,0.0
35,0.0,0.0
22,0.0,0.0
470,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
29,0.0,0.0
1,1.0,0.0
1,1.0,0.0
62,0.0,0.0
1,1.0,0.0
1,1.0,0.0
3,0.0,0.0
2,0.0,0.0
1,1.0,0.0
78,0.0,0.0
4,0.0,0.0
34,0.0,0.0
1,1.0,0.0
4,0.0,0.0
1,1.0,0.0
2,0.0,0.0
13,0.0,0.0
4,0.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
27,0.0,0.0
1,1.0,0.0
28,0.0,0.0
1,1.0,0.0
29,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
3,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
6,0.0,0.0
11,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
34,0.0,0.0
94,0.0,0.0
1,1.0,0.0
89,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
1,1.0,0.0
33,0.0,0.0
4,0.0,0.0
1,1.0,0.0
1,1.0,0.0
3,0.0,0.0
1,1.0,0.0
2,0.0,0.0
4,0.0,0.0
487,0.0,0.0
1,1.0,0.0
1,1.0,0.0
82,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
24,0.0,0.0
1,1.0,0.0
1,1.0,0.0
16,0.0,0.0
58,0.0,0.0
1,1.0,0.0
1,1.0,0.0
